AwardsRowID,awardName,year,leagueID,personID,pointsWon,pointsMax,votesFirst,tie,notes,isShared
1,Pitching Triple Crown,1877,NL,bondto01,NULL,NULL,NULL,NULL,NULL,N
2,Triple Crown,1878,NL,hinespa01,NULL,NULL,NULL,NULL,NULL,N
3,Pitching Triple Crown,1884,AA,heckegu01,NULL,NULL,NULL,NULL,NULL,N
4,Pitching Triple Crown,1884,NL,radboch01,NULL,NULL,NULL,NULL,NULL,N
5,Triple Crown,1887,AA,oneilti01,NULL,NULL,NULL,NULL,NULL,N
6,Pitching Triple Crown,1888,NL,keefeti01,NULL,NULL,NULL,NULL,NULL,N
7,Pitching Triple Crown,1889,NL,clarkjo01,NULL,NULL,NULL,NULL,NULL,N
8,Triple Crown,1894,NL,duffyhu01,NULL,NULL,NULL,NULL,NULL,N
9,Pitching Triple Crown,1894,NL,rusieam01,NULL,NULL,NULL,NULL,NULL,N
10,Triple Crown,1901,AL,lajoina01,NULL,NULL,NULL,NULL,NULL,N
11,Pitching Triple Crown,1901,AL,youngcy01,NULL,NULL,NULL,NULL,NULL,N
12,Pitching Triple Crown,1905,NL,mathech01,NULL,NULL,NULL,NULL,NULL,N
13,Pitching Triple Crown,1905,AL,wadderu01,NULL,NULL,NULL,NULL,NULL,N
14,Baseball Magazine All-Star,1908,ML,bresnro01,NULL,NULL,NULL,NULL,C,N
15,Baseball Magazine All-Star,1908,NL,bresnro01,NULL,NULL,NULL,NULL,C,N
16,Baseball Magazine All-Star,1908,ML,brownmo01,NULL,NULL,NULL,NULL,P4,N
17,Baseball Magazine All-Star,1908,NL,brownmo01,NULL,NULL,NULL,NULL,P1,N
18,Baseball Magazine All-Star,1908,AL,chaseha01,NULL,NULL,NULL,NULL,1B,N
19,Baseball Magazine All-Star,1908,ML,chaseha01,NULL,NULL,NULL,NULL,1B,N
20,Baseball Magazine All-Star,1908,ML,clarkfr01,NULL,NULL,NULL,NULL,LF,N
21,Baseball Magazine All-Star,1908,NL,clarkfr01,NULL,NULL,NULL,NULL,LF,N
22,Baseball Magazine All-Star,1908,AL,cobbty01,NULL,NULL,NULL,NULL,RF,N
23,Baseball Magazine All-Star,1908,ML,cobbty01,NULL,NULL,NULL,NULL,RF,N
