rowID,divisionID,divisionName,isActive
1,E,AL East,Y
2,W,AL West,Y
3,C,AL Central,Y
4,E,NL East,Y
5,W,NL West,Y
6,C,NL Central,Y
7,A,Sole Division,N
8,F,Sole Division,N
9,N,Sole Division,N
10,P,Sole Division,N
11,U,Sole Division,N
